text_features,attack_context,Label,multi_class_label,attack_cat
Network_Activity: Protocol:Protocol_114 Service:Other Connection_State:State_5 High_Inbound_Traffic Duration:1.0s. Behavioral_Pattern: Normal_Behavior,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_114 Service:Other Connection_State:State_5 High_Inbound_Traffic Duration:1.0s. Behavioral_Pattern: Normal_Behavior,0,9,unknown
Network_Activity: Protocol:Protocol_120 Service:SSH Connection_State:State_6 Outbound_Only Very_Short_Connection High_Source_Load. Behavioral_Pattern: Potential_DoS_Outbound,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_120 Service:SSH Connection_State:State_6 Outbound_Only Very_Short_Connection High_Source_Load. Behavioral_Pattern: Potential_DoS_Outbound,0,9,unknown
Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 Balanced_Communication Duration:0.9s. Behavioral_Pattern: Normal_Behavior,MALICIOUS_ACTIVITY Type:Reconnaissance - Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 Balanced_Communication Duration:0.9s. Behavioral_Pattern: Normal_Behavior,1,6,Reconnaissance
Network_Activity: Protocol:Protocol_114 Service:Service_9 Connection_State:State_5 High_Outbound_Traffic Very_Short_Connection High_Source_Load. Behavioral_Pattern: Potential_DoS_Outbound,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_114 Service:Service_9 Connection_State:State_5 High_Outbound_Traffic Very_Short_Connection High_Source_Load. Behavioral_Pattern: Potential_DoS_Outbound,0,9,unknown
Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 Duration:0.3s. Behavioral_Pattern: Normal_Behavior,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 Duration:0.3s. Behavioral_Pattern: Normal_Behavior,0,9,unknown
Network_Activity: Protocol:Protocol_120 Service:SSH Connection_State:SYN_RECV Balanced_Communication Very_Short_Connection. Behavioral_Pattern: Normal_Behavior,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_120 Service:SSH Connection_State:SYN_RECV Balanced_Communication Very_Short_Connection. Behavioral_Pattern: Normal_Behavior,0,9,unknown
Network_Activity: Protocol:Protocol_120 Service:SSH Connection_State:State_6 Outbound_Only Very_Short_Connection High_Source_Load. Behavioral_Pattern: Multiple_Services_From_Source Multiple_Destination_Ports Potential_DoS_Outbound,MALICIOUS_ACTIVITY Type:Generic - Network_Activity: Protocol:Protocol_120 Service:SSH Connection_State:State_6 Outbound_Only Very_Short_Connection High_Source_Load. Behavioral_Pattern: Multiple_Services_From_Source Multiple_Destination_Ports Potential_DoS_Outbound,1,5,Generic
Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 High_Inbound_Traffic Duration:1.4s High_Destination_Load. Behavioral_Pattern: Normal_Behavior,MALICIOUS_ACTIVITY Type:DoS - Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 High_Inbound_Traffic Duration:1.4s High_Destination_Load. Behavioral_Pattern: Normal_Behavior,1,3,DoS
Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 Balanced_Communication Duration:0.2s. Behavioral_Pattern: Normal_Behavior,MALICIOUS_ACTIVITY Type: Fuzzers - Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 Balanced_Communication Duration:0.2s. Behavioral_Pattern: Normal_Behavior,1,0, Fuzzers
Network_Activity: Protocol:Protocol_120 Service:SSH Connection_State:SYN_RECV Balanced_Communication Very_Short_Connection. Behavioral_Pattern: Normal_Behavior,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_120 Service:SSH Connection_State:SYN_RECV Balanced_Communication Very_Short_Connection. Behavioral_Pattern: Normal_Behavior,0,9,unknown
Network_Activity: Protocol:Protocol_114 Service:Other Connection_State:State_5 High_Inbound_Traffic Duration:1.0s. Behavioral_Pattern: Normal_Behavior,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_114 Service:Other Connection_State:State_5 High_Inbound_Traffic Duration:1.0s. Behavioral_Pattern: Normal_Behavior,0,9,unknown
Network_Activity: Protocol:Protocol_120 Service:HTTP Connection_State:SYN_RECV Balanced_Communication Very_Short_Connection. Behavioral_Pattern: Normal_Behavior,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_120 Service:HTTP Connection_State:SYN_RECV Balanced_Communication Very_Short_Connection. Behavioral_Pattern: Normal_Behavior,0,9,unknown
Network_Activity: Protocol:Protocol_114 Service:Service_12 Connection_State:State_5 High_Inbound_Traffic Duration:32.0s. Behavioral_Pattern: Normal_Behavior,MALICIOUS_ACTIVITY Type:Generic - Network_Activity: Protocol:Protocol_114 Service:Service_12 Connection_State:State_5 High_Inbound_Traffic Duration:32.0s. Behavioral_Pattern: Normal_Behavior,1,5,Generic
Network_Activity: Protocol:Protocol_120 Service:SSH Connection_State:SYN_RECV Balanced_Communication Very_Short_Connection. Behavioral_Pattern: Normal_Behavior,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_120 Service:SSH Connection_State:SYN_RECV Balanced_Communication Very_Short_Connection. Behavioral_Pattern: Normal_Behavior,0,9,unknown
Network_Activity: Protocol:Protocol_114 Service:Other Connection_State:State_5 Duration:1.3s. Behavioral_Pattern: Normal_Behavior,MALICIOUS_ACTIVITY Type:Exploits - Network_Activity: Protocol:Protocol_114 Service:Other Connection_State:State_5 Duration:1.3s. Behavioral_Pattern: Normal_Behavior,1,4,Exploits
Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 Duration:1.5s. Behavioral_Pattern: Normal_Behavior,MALICIOUS_ACTIVITY Type: Fuzzers - Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 Duration:1.5s. Behavioral_Pattern: Normal_Behavior,1,0, Fuzzers
Network_Activity: Protocol:Protocol_114 Service:Other Connection_State:State_5 Duration:0.5s. Behavioral_Pattern: Normal_Behavior,MALICIOUS_ACTIVITY Type:Exploits - Network_Activity: Protocol:Protocol_114 Service:Other Connection_State:State_5 Duration:0.5s. Behavioral_Pattern: Normal_Behavior,1,4,Exploits
Network_Activity: Protocol:Protocol_114 Service:Other Connection_State:State_5 Balanced_Communication Duration:0.6s. Behavioral_Pattern: Normal_Behavior,MALICIOUS_ACTIVITY Type:Exploits - Network_Activity: Protocol:Protocol_114 Service:Other Connection_State:State_5 Balanced_Communication Duration:0.6s. Behavioral_Pattern: Normal_Behavior,1,4,Exploits
Network_Activity: Protocol:Protocol_120 Service:SSH Connection_State:State_6 Outbound_Only Very_Short_Connection High_Source_Load. Behavioral_Pattern: Multiple_Services_From_Source Potential_DoS_Outbound,MALICIOUS_ACTIVITY Type:Generic - Network_Activity: Protocol:Protocol_120 Service:SSH Connection_State:State_6 Outbound_Only Very_Short_Connection High_Source_Load. Behavioral_Pattern: Multiple_Services_From_Source Potential_DoS_Outbound,1,5,Generic
Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 High_Inbound_Traffic Very_Short_Connection High_Destination_Load. Behavioral_Pattern: Potential_DoS_Inbound,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 High_Inbound_Traffic Very_Short_Connection High_Destination_Load. Behavioral_Pattern: Potential_DoS_Inbound,0,9,unknown
Network_Activity: Protocol:Protocol_114 Service:SMTP Connection_State:State_5 Very_Short_Connection. Behavioral_Pattern: Normal_Behavior,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_114 Service:SMTP Connection_State:State_5 Very_Short_Connection. Behavioral_Pattern: Normal_Behavior,0,9,unknown
Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 High_Inbound_Traffic Very_Short_Connection High_Source_Load High_Destination_Load. Behavioral_Pattern: Potential_DoS_Inbound,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 High_Inbound_Traffic Very_Short_Connection High_Source_Load High_Destination_Load. Behavioral_Pattern: Potential_DoS_Inbound,0,9,unknown
Network_Activity: Protocol:Protocol_114 Service:SMTP Connection_State:State_5 Duration:0.4s. Behavioral_Pattern: Normal_Behavior,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_114 Service:SMTP Connection_State:State_5 Duration:0.4s. Behavioral_Pattern: Normal_Behavior,0,9,unknown
Network_Activity: Protocol:Protocol_114 Service:Service_9 Connection_State:State_5 High_Outbound_Traffic Duration:3.3s. Behavioral_Pattern: Normal_Behavior,MALICIOUS_ACTIVITY Type:Exploits - Network_Activity: Protocol:Protocol_114 Service:Service_9 Connection_State:State_5 High_Outbound_Traffic Duration:3.3s. Behavioral_Pattern: Normal_Behavior,1,4,Exploits
Network_Activity: Protocol:Protocol_114 Service:Other Connection_State:State_5 Duration:1.1s. Behavioral_Pattern: Normal_Behavior,MALICIOUS_ACTIVITY Type:Exploits - Network_Activity: Protocol:Protocol_114 Service:Other Connection_State:State_5 Duration:1.1s. Behavioral_Pattern: Normal_Behavior,1,4,Exploits
Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 Duration:0.2s. Behavioral_Pattern: Normal_Behavior,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 Duration:0.2s. Behavioral_Pattern: Normal_Behavior,0,9,unknown
Network_Activity: Protocol:Protocol_120 Service:SSH Connection_State:State_6 Outbound_Only Very_Short_Connection High_Source_Load. Behavioral_Pattern: Potential_DoS_Outbound,MALICIOUS_ACTIVITY Type:Generic - Network_Activity: Protocol:Protocol_120 Service:SSH Connection_State:State_6 Outbound_Only Very_Short_Connection High_Source_Load. Behavioral_Pattern: Potential_DoS_Outbound,1,5,Generic
Network_Activity: Protocol:Protocol_114 Service:Other Connection_State:State_5 Duration:2.8s. Behavioral_Pattern: Normal_Behavior,MALICIOUS_ACTIVITY Type:Exploits - Network_Activity: Protocol:Protocol_114 Service:Other Connection_State:State_5 Duration:2.8s. Behavioral_Pattern: Normal_Behavior,1,4,Exploits
Network_Activity: Protocol:Protocol_120 Service:HTTP Connection_State:State_6 Outbound_Only Very_Short_Connection High_Source_Load. Behavioral_Pattern: Potential_DoS_Outbound,MALICIOUS_ACTIVITY Type:Reconnaissance - Network_Activity: Protocol:Protocol_120 Service:HTTP Connection_State:State_6 Outbound_Only Very_Short_Connection High_Source_Load. Behavioral_Pattern: Potential_DoS_Outbound,1,6,Reconnaissance
Network_Activity: Protocol:Protocol_120 Service:HTTP Connection_State:State_6 Outbound_Only Very_Short_Connection High_Source_Load. Behavioral_Pattern: Potential_DoS_Outbound,MALICIOUS_ACTIVITY Type:Reconnaissance - Network_Activity: Protocol:Protocol_120 Service:HTTP Connection_State:State_6 Outbound_Only Very_Short_Connection High_Source_Load. Behavioral_Pattern: Potential_DoS_Outbound,1,6,Reconnaissance
Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 Duration:0.5s. Behavioral_Pattern: Normal_Behavior,MALICIOUS_ACTIVITY Type:Exploits - Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 Duration:0.5s. Behavioral_Pattern: Normal_Behavior,1,4,Exploits
Network_Activity: Protocol:Protocol_114 Service:Service_9 Connection_State:State_5 Duration:1.7s. Behavioral_Pattern: Normal_Behavior,MALICIOUS_ACTIVITY Type:DoS - Network_Activity: Protocol:Protocol_114 Service:Service_9 Connection_State:State_5 Duration:1.7s. Behavioral_Pattern: Normal_Behavior,1,3,DoS
Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 High_Inbound_Traffic Duration:0.8s. Behavioral_Pattern: Normal_Behavior,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 High_Inbound_Traffic Duration:0.8s. Behavioral_Pattern: Normal_Behavior,0,9,unknown
Network_Activity: Protocol:Protocol_114 Service:SMTP Connection_State:State_5 Duration:0.6s. Behavioral_Pattern: Normal_Behavior,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_114 Service:SMTP Connection_State:State_5 Duration:0.6s. Behavioral_Pattern: Normal_Behavior,0,9,unknown
Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 Balanced_Communication Duration:0.7s. Behavioral_Pattern: Normal_Behavior,MALICIOUS_ACTIVITY Type: Fuzzers - Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 Balanced_Communication Duration:0.7s. Behavioral_Pattern: Normal_Behavior,1,0, Fuzzers
Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 Duration:0.5s. Behavioral_Pattern: Normal_Behavior,MALICIOUS_ACTIVITY Type:Exploits - Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 Duration:0.5s. Behavioral_Pattern: Normal_Behavior,1,4,Exploits
Network_Activity: Protocol:Protocol_120 Service:SSH Connection_State:SYN_RECV Balanced_Communication Very_Short_Connection. Behavioral_Pattern: Normal_Behavior,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_120 Service:SSH Connection_State:SYN_RECV Balanced_Communication Very_Short_Connection. Behavioral_Pattern: Normal_Behavior,0,9,unknown
Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 Duration:0.6s. Behavioral_Pattern: Normal_Behavior,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 Duration:0.6s. Behavioral_Pattern: Normal_Behavior,0,9,unknown
Network_Activity: Protocol:Protocol_120 Service:SSH Connection_State:SYN_RECV Balanced_Communication Very_Short_Connection. Behavioral_Pattern: Normal_Behavior,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_120 Service:SSH Connection_State:SYN_RECV Balanced_Communication Very_Short_Connection. Behavioral_Pattern: Normal_Behavior,0,9,unknown
Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 Duration:0.8s. Behavioral_Pattern: Multiple_Services_From_Source,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 Duration:0.8s. Behavioral_Pattern: Multiple_Services_From_Source,0,9,unknown
Network_Activity: Protocol:Protocol_120 Service:SSH Connection_State:SYN_RECV Balanced_Communication Very_Short_Connection. Behavioral_Pattern: Normal_Behavior,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_120 Service:SSH Connection_State:SYN_RECV Balanced_Communication Very_Short_Connection. Behavioral_Pattern: Normal_Behavior,0,9,unknown
Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 High_Inbound_Traffic Very_Short_Connection High_Destination_Load. Behavioral_Pattern: Potential_DoS_Inbound,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 High_Inbound_Traffic Very_Short_Connection High_Destination_Load. Behavioral_Pattern: Potential_DoS_Inbound,0,9,unknown
Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 High_Inbound_Traffic Very_Short_Connection High_Destination_Load. Behavioral_Pattern: Potential_DoS_Inbound,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 High_Inbound_Traffic Very_Short_Connection High_Destination_Load. Behavioral_Pattern: Potential_DoS_Inbound,0,9,unknown
Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 Duration:1.3s. Behavioral_Pattern: Multiple_Services_From_Source,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 Duration:1.3s. Behavioral_Pattern: Multiple_Services_From_Source,0,9,unknown
Network_Activity: Protocol:Protocol_79 Service:HTTP Connection_State:State_6 High_Outbound_Traffic Outbound_Only Duration:22.6s. Behavioral_Pattern: Normal_Behavior,MALICIOUS_ACTIVITY Type:DoS - Network_Activity: Protocol:Protocol_79 Service:HTTP Connection_State:State_6 High_Outbound_Traffic Outbound_Only Duration:22.6s. Behavioral_Pattern: Normal_Behavior,1,3,DoS
Network_Activity: Protocol:Protocol_114 Service:Other Connection_State:State_5 High_Inbound_Traffic Duration:1.0s. Behavioral_Pattern: Normal_Behavior,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_114 Service:Other Connection_State:State_5 High_Inbound_Traffic Duration:1.0s. Behavioral_Pattern: Normal_Behavior,0,9,unknown
Network_Activity: Protocol:Protocol_120 Service:SSH Connection_State:State_6 Outbound_Only Very_Short_Connection High_Source_Load. Behavioral_Pattern: Multiple_Services_From_Source Potential_DoS_Outbound,MALICIOUS_ACTIVITY Type:Generic - Network_Activity: Protocol:Protocol_120 Service:SSH Connection_State:State_6 Outbound_Only Very_Short_Connection High_Source_Load. Behavioral_Pattern: Multiple_Services_From_Source Potential_DoS_Outbound,1,5,Generic
Network_Activity: Protocol:Protocol_17 Service:HTTP Connection_State:State_6 Outbound_Only Very_Short_Connection High_Source_Load. Behavioral_Pattern: Multiple_Services_From_Source Multiple_Destination_Ports Potential_DoS_Outbound,MALICIOUS_ACTIVITY Type:Exploits - Network_Activity: Protocol:Protocol_17 Service:HTTP Connection_State:State_6 Outbound_Only Very_Short_Connection High_Source_Load. Behavioral_Pattern: Multiple_Services_From_Source Multiple_Destination_Ports Potential_DoS_Outbound,1,4,Exploits
Network_Activity: Protocol:Protocol_120 Service:HTTP Connection_State:State_6 Outbound_Only Very_Short_Connection High_Source_Load. Behavioral_Pattern: Potential_DoS_Outbound,MALICIOUS_ACTIVITY Type:Reconnaissance - Network_Activity: Protocol:Protocol_120 Service:HTTP Connection_State:State_6 Outbound_Only Very_Short_Connection High_Source_Load. Behavioral_Pattern: Potential_DoS_Outbound,1,6,Reconnaissance
Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 Very_Short_Connection High_Source_Load High_Destination_Load. Behavioral_Pattern: Normal_Behavior,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 Very_Short_Connection High_Source_Load High_Destination_Load. Behavioral_Pattern: Normal_Behavior,0,9,unknown
Network_Activity: Protocol:Protocol_120 Service:HTTP Connection_State:SYN_RECV Balanced_Communication Very_Short_Connection High_Source_Load High_Destination_Load. Behavioral_Pattern: Normal_Behavior,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_120 Service:HTTP Connection_State:SYN_RECV Balanced_Communication Very_Short_Connection High_Source_Load High_Destination_Load. Behavioral_Pattern: Normal_Behavior,0,9,unknown
Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 High_Inbound_Traffic Duration:1.7s. Behavioral_Pattern: Normal_Behavior,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 High_Inbound_Traffic Duration:1.7s. Behavioral_Pattern: Normal_Behavior,0,9,unknown
Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 Balanced_Communication Duration:1.3s. Behavioral_Pattern: Normal_Behavior,MALICIOUS_ACTIVITY Type: Fuzzers - Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 Balanced_Communication Duration:1.3s. Behavioral_Pattern: Normal_Behavior,1,0, Fuzzers
Network_Activity: Protocol:Protocol_120 Service:HTTP Connection_State:State_6 Outbound_Only Very_Short_Connection High_Source_Load. Behavioral_Pattern: Potential_DoS_Outbound,MALICIOUS_ACTIVITY Type:Reconnaissance - Network_Activity: Protocol:Protocol_120 Service:HTTP Connection_State:State_6 Outbound_Only Very_Short_Connection High_Source_Load. Behavioral_Pattern: Potential_DoS_Outbound,1,6,Reconnaissance
Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 Balanced_Communication Duration:0.8s. Behavioral_Pattern: Normal_Behavior,MALICIOUS_ACTIVITY Type: Fuzzers - Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 Balanced_Communication Duration:0.8s. Behavioral_Pattern: Normal_Behavior,1,0, Fuzzers
Network_Activity: Protocol:Protocol_114 Service:Other Connection_State:State_5 Duration:0.6s. Behavioral_Pattern: Normal_Behavior,MALICIOUS_ACTIVITY Type:Exploits - Network_Activity: Protocol:Protocol_114 Service:Other Connection_State:State_5 Duration:0.6s. Behavioral_Pattern: Normal_Behavior,1,4,Exploits
Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 High_Outbound_Traffic High_Inbound_Traffic Duration:5.3s High_Destination_Load. Behavioral_Pattern: Normal_Behavior,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 High_Outbound_Traffic High_Inbound_Traffic Duration:5.3s High_Destination_Load. Behavioral_Pattern: Normal_Behavior,0,9,unknown
Network_Activity: Protocol:Protocol_120 Service:SSH Connection_State:State_6 Outbound_Only Very_Short_Connection High_Source_Load. Behavioral_Pattern: Potential_DoS_Outbound,MALICIOUS_ACTIVITY Type:Generic - Network_Activity: Protocol:Protocol_120 Service:SSH Connection_State:State_6 Outbound_Only Very_Short_Connection High_Source_Load. Behavioral_Pattern: Potential_DoS_Outbound,1,5,Generic
Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 High_Outbound_Traffic High_Inbound_Traffic Duration:2.2s High_Destination_Load. Behavioral_Pattern: Normal_Behavior,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 High_Outbound_Traffic High_Inbound_Traffic Duration:2.2s High_Destination_Load. Behavioral_Pattern: Normal_Behavior,0,9,unknown
Network_Activity: Protocol:Protocol_120 Service:HTTP Connection_State:SYN_RECV Balanced_Communication Duration:0.4s. Behavioral_Pattern: Normal_Behavior,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_120 Service:HTTP Connection_State:SYN_RECV Balanced_Communication Duration:0.4s. Behavioral_Pattern: Normal_Behavior,0,9,unknown
Network_Activity: Protocol:Protocol_120 Service:SSH Connection_State:State_6 Outbound_Only Very_Short_Connection High_Source_Load. Behavioral_Pattern: Multiple_Services_From_Source Multiple_Destination_Ports Potential_DoS_Outbound,MALICIOUS_ACTIVITY Type:Generic - Network_Activity: Protocol:Protocol_120 Service:SSH Connection_State:State_6 Outbound_Only Very_Short_Connection High_Source_Load. Behavioral_Pattern: Multiple_Services_From_Source Multiple_Destination_Ports Potential_DoS_Outbound,1,5,Generic
Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 Duration:0.5s. Behavioral_Pattern: Normal_Behavior,MALICIOUS_ACTIVITY Type: Fuzzers - Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 Duration:0.5s. Behavioral_Pattern: Normal_Behavior,1,0, Fuzzers
Network_Activity: Protocol:Protocol_103 Service:HTTP Connection_State:State_6 Outbound_Only Very_Short_Connection High_Source_Load. Behavioral_Pattern: Multiple_Services_From_Source Potential_DoS_Outbound,MALICIOUS_ACTIVITY Type:Exploits - Network_Activity: Protocol:Protocol_103 Service:HTTP Connection_State:State_6 Outbound_Only Very_Short_Connection High_Source_Load. Behavioral_Pattern: Multiple_Services_From_Source Potential_DoS_Outbound,1,4,Exploits
Network_Activity: Protocol:Protocol_120 Service:SSH Connection_State:SYN_RECV Balanced_Communication Very_Short_Connection. Behavioral_Pattern: Normal_Behavior,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_120 Service:SSH Connection_State:SYN_RECV Balanced_Communication Very_Short_Connection. Behavioral_Pattern: Normal_Behavior,0,9,unknown
Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 Balanced_Communication Duration:0.8s. Behavioral_Pattern: Normal_Behavior,MALICIOUS_ACTIVITY Type:Reconnaissance - Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 Balanced_Communication Duration:0.8s. Behavioral_Pattern: Normal_Behavior,1,6,Reconnaissance
Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 High_Inbound_Traffic Very_Short_Connection High_Source_Load High_Destination_Load. Behavioral_Pattern: Potential_DoS_Inbound,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 High_Inbound_Traffic Very_Short_Connection High_Source_Load High_Destination_Load. Behavioral_Pattern: Potential_DoS_Inbound,0,9,unknown
Network_Activity: Protocol:Protocol_120 Service:HTTP Connection_State:SYN_RECV Balanced_Communication Very_Short_Connection. Behavioral_Pattern: Normal_Behavior,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_120 Service:HTTP Connection_State:SYN_RECV Balanced_Communication Very_Short_Connection. Behavioral_Pattern: Normal_Behavior,0,9,unknown
Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 High_Outbound_Traffic Duration:0.9s. Behavioral_Pattern: Normal_Behavior,MALICIOUS_ACTIVITY Type: Fuzzers - Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 High_Outbound_Traffic Duration:0.9s. Behavioral_Pattern: Normal_Behavior,1,0, Fuzzers
Network_Activity: Protocol:Protocol_114 Service:Service_9 Connection_State:State_5 High_Outbound_Traffic Duration:3.6s. Behavioral_Pattern: Normal_Behavior,MALICIOUS_ACTIVITY Type:Exploits - Network_Activity: Protocol:Protocol_114 Service:Service_9 Connection_State:State_5 High_Outbound_Traffic Duration:3.6s. Behavioral_Pattern: Normal_Behavior,1,4,Exploits
Network_Activity: Protocol:Protocol_120 Service:SSH Connection_State:State_6 Outbound_Only Very_Short_Connection High_Source_Load. Behavioral_Pattern: Potential_DoS_Outbound,MALICIOUS_ACTIVITY Type:Generic - Network_Activity: Protocol:Protocol_120 Service:SSH Connection_State:State_6 Outbound_Only Very_Short_Connection High_Source_Load. Behavioral_Pattern: Potential_DoS_Outbound,1,5,Generic
Network_Activity: Protocol:Protocol_120 Service:SSH Connection_State:State_6 Outbound_Only Very_Short_Connection High_Source_Load. Behavioral_Pattern: Potential_DoS_Outbound,MALICIOUS_ACTIVITY Type:Generic - Network_Activity: Protocol:Protocol_120 Service:SSH Connection_State:State_6 Outbound_Only Very_Short_Connection High_Source_Load. Behavioral_Pattern: Potential_DoS_Outbound,1,5,Generic
Network_Activity: Protocol:Protocol_120 Service:SSH Connection_State:State_6 Outbound_Only Very_Short_Connection High_Source_Load. Behavioral_Pattern: Potential_DoS_Outbound,MALICIOUS_ACTIVITY Type:Generic - Network_Activity: Protocol:Protocol_120 Service:SSH Connection_State:State_6 Outbound_Only Very_Short_Connection High_Source_Load. Behavioral_Pattern: Potential_DoS_Outbound,1,5,Generic
Network_Activity: Protocol:Protocol_120 Service:SSH Connection_State:SYN_RECV Balanced_Communication Very_Short_Connection. Behavioral_Pattern: Normal_Behavior,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_120 Service:SSH Connection_State:SYN_RECV Balanced_Communication Very_Short_Connection. Behavioral_Pattern: Normal_Behavior,0,9,unknown
Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 Balanced_Communication Duration:1.4s. Behavioral_Pattern: Normal_Behavior,MALICIOUS_ACTIVITY Type:Reconnaissance - Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 Balanced_Communication Duration:1.4s. Behavioral_Pattern: Normal_Behavior,1,6,Reconnaissance
Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 Duration:1.1s. Behavioral_Pattern: Normal_Behavior,MALICIOUS_ACTIVITY Type: Fuzzers - Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 Duration:1.1s. Behavioral_Pattern: Normal_Behavior,1,0, Fuzzers
Network_Activity: Protocol:Protocol_114 Service:SMTP Connection_State:State_5 Duration:0.2s. Behavioral_Pattern: Normal_Behavior,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_114 Service:SMTP Connection_State:State_5 Duration:0.2s. Behavioral_Pattern: Normal_Behavior,0,9,unknown
